game,season,home_team,away_team,starting_min,outcome,home_players,away_players
9610,8,29,10,0,-1,"[88, 241, 256, 476, 897]","[51, 307, 396, 617, 958]"
9610,8,29,10,7,-1,"[88, 241, 256, 476, 897]","[307, 355, 396, 617, 958]"
9610,8,29,10,8,-1,"[138, 241, 256, 785, 897]","[43, 355, 617, 713, 958]"
9610,8,29,10,9,-1,"[138, 241, 256, 277, 785]","[43, 355, 617, 713, 958]"
9610,8,29,10,10,-1,"[138, 277, 785, 843, 859]","[43, 355, 617, 713, 958]"
9610,8,29,10,11,1,"[138, 277, 785, 843, 859]","[43, 355, 617, 652, 713]"
9610,8,29,10,12,-1,"[138, 277, 785, 843, 859]","[43, 573, 652, 713, 795]"
9610,8,29,10,13,1,"[138, 277, 785, 843, 859]","[43, 51, 573, 652, 713]"
9610,8,29,10,16,-1,"[138, 277, 785, 843, 859]","[43, 51, 307, 617, 958]"
9610,8,29,10,17,-1,"[256, 476, 785, 843, 897]","[43, 51, 307, 617, 958]"
9610,8,29,10,18,-1,"[88, 241, 256, 476, 897]","[51, 307, 396, 617, 958]"
9610,8,29,10,19,-1,"[88, 241, 256, 476, 897]","[307, 355, 396, 617, 958]"
9610,8,29,10,20,1,"[88, 138, 241, 256, 897]","[307, 396, 617, 795, 958]"
9610,8,29,10,23,-1,"[138, 241, 256, 785, 897]","[307, 396, 617, 713, 958]"
9610,8,29,10,24,-1,"[138, 241, 256, 277, 785]","[43, 307, 396, 617, 713]"
9610,8,29,10,25,-1,"[88, 241, 256, 476, 897]","[51, 307, 396, 617, 958]"
9610,8,29,10,26,1,"[88, 241, 256, 476, 897]","[307, 355, 396, 617, 958]"
9610,8,29,10,28,-1,"[88, 241, 256, 476, 897]","[307, 396, 617, 795, 958]"
9610,8,29,10,29,1,"[138, 241, 476, 785, 897]","[43, 307, 617, 795, 958]"
9610,8,29,10,30,-1,"[138, 241, 476, 785, 897]","[43, 307, 396, 617, 958]"
9610,8,29,10,32,-1,"[138, 241, 277, 785, 897]","[43, 307, 396, 617, 958]"
9610,8,29,10,33,-1,"[138, 277, 785, 843, 897]","[43, 307, 396, 652, 958]"
9610,8,29,10,34,-1,"[88, 241, 256, 785, 799]","[43, 307, 396, 652, 958]"
9610,8,29,10,35,1,"[88, 241, 256, 785, 799]","[43, 307, 652, 713, 958]"
9610,8,29,10,37,-1,"[88, 241, 256, 785, 799]","[43, 396, 652, 713, 939]"
9610,8,29,10,38,-1,"[241, 256, 785, 799, 897]","[43, 396, 652, 713, 939]"
9610,8,29,10,39,-1,"[241, 476, 785, 799, 897]","[396, 617, 652, 713, 939]"
9610,8,29,10,40,-1,"[241, 476, 785, 799, 897]","[43, 396, 617, 713, 958]"
9610,8,29,10,43,-1,"[88, 241, 256, 799, 897]","[43, 51, 307, 617, 652]"
9610,8,29,10,45,-1,"[88, 241, 256, 799, 897]","[43, 51, 307, 617, 958]"
9627,8,10,14,0,-1,"[51, 307, 396, 617, 958]","[141, 494, 544, 618, 1058]"
9627,8,10,14,6,-1,"[51, 307, 396, 652, 958]","[141, 494, 544, 618, 1058]"
9627,8,10,14,8,1,"[43, 307, 355, 652, 958]","[320, 544, 618, 890, 1058]"
9627,8,10,14,10,-1,"[43, 307, 355, 652, 958]","[320, 544, 890, 1056, 1058]"
9627,8,10,14,12,-1,"[43, 355, 652, 713, 939]","[320, 544, 890, 1056, 1058]"
9627,8,10,14,13,1,"[43, 51, 617, 713, 939]","[320, 876, 890, 1056, 1071]"
9627,8,10,14,17,-1,"[43, 51, 396, 617, 958]","[141, 618, 876, 890, 1071]"
9627,8,10,14,18,1,"[43, 51, 396, 617, 958]","[141, 494, 544, 618, 1071]"
9627,8,10,14,20,1,"[43, 51, 396, 617, 958]","[494, 544, 618, 1058, 1071]"
