game,season,home_team,away_team,starting_min,outcome,home_players,away_players,player_removed
9904,8,34,1,30,-1,"[108, 604, 668, 796]","[82, 473, 574, 814, 995]",518
10541,8,27,10,36,1,"[109, 361, 780, 941]","[42, 299, 346, 599, 907]",73
1456,1,16,1,0,-1,"[57, 169, 306, 1001]","[578, 585, 796, 814, 825]",905
8343,6,7,15,31,-1,"[235, 325, 766, 1010]","[666, 720, 947, 966, 1040]",909
6026,4,12,9,9,-1,"[721, 794, 860, 992]","[173, 376, 834, 850, 947]",235
5556,4,3,0,47,-1,"[265, 287, 696, 907]","[207, 427, 505, 545, 719]",318
1335,1,6,25,43,1,"[216, 300, 624, 1043]","[304, 390, 430, 570, 820]",630
1471,1,1,6,13,1,"[122, 315, 366, 966]","[211, 216, 333, 400, 1043]",440
9210,7,33,1,22,1,"[268, 692, 835, 982]","[110, 363, 473, 574, 814]",371
2411,1,23,0,35,1,"[427, 449, 745, 1031]","[13, 505, 538, 692, 719]",804
6309,5,7,17,15,1,"[119, 396, 617, 851]","[112, 139, 300, 338, 907]",464
8810,7,27,26,43,1,"[150, 361, 675, 780]","[394, 709, 922, 953, 971]",369
10011,8,15,33,22,-1,"[191, 666, 720, 947]","[20, 268, 371, 866, 982]",601
2172,1,25,0,18,-1,"[137, 304, 390, 570]","[505, 538, 545, 719, 1041]",820
1388,1,9,23,13,-1,"[78, 455, 461, 856]","[240, 349, 449, 662, 745]",72
3168,2,23,14,16,-1,"[12, 745, 962, 1031]","[529, 543, 882, 980, 1013]",218
3687,2,27,10,32,1,"[373, 631, 694, 847]","[55, 63, 130, 573, 840]",931
2279,1,23,19,0,-1,"[427, 449, 1031, 1040]","[276, 537, 750, 835, 1010]",240
8928,7,3,23,45,-1,"[14, 362, 542, 576]","[46, 140, 398, 827, 960]",712
1732,1,15,14,26,1,"[231, 720, 725, 792]","[51, 263, 600, 617, 651]",865
345,0,21,7,19,-1,"[168, 272, 446, 636]","[286, 335, 375, 464, 541]",1000
8630,7,7,3,37,1,"[286, 352, 420, 1010]","[67, 85, 94, 182, 815]",248
956,0,3,29,45,-1,"[262, 696, 803, 889]","[107, 588, 706, 719, 906]",827
5406,4,18,19,32,-1,"[587, 649, 708, 1021]","[88, 124, 276, 513, 882]",231
1848,1,26,9,41,1,"[43, 879, 953, 1029]","[72, 78, 155, 821, 834]",641
3686,2,25,3,43,1,"[8, 408, 485, 997]","[143, 196, 254, 293, 889]",668
1857,1,7,14,37,-1,"[110, 286, 464, 979]","[281, 529, 600, 859, 882]",276
10135,8,2,26,7,-1,"[124, 505, 693, 895]","[350, 563, 642, 709, 752]",453
9157,7,7,16,37,-1,"[109, 276, 286, 420]","[157, 159, 306, 765, 825]",1010
